cell,proto,workload,stressors,dma_period_ns,simSeconds,simTicks,finalTick,simFreq,hostSeconds,simInsts,simOps,cpu_numCycles_total,l1_request_from_msgs_total,l1_request_to_msgs_total,l1_response_from_msgs_total,l1_response_to_msgs_total,dir_request_to_msgs_total,dir_response_from_msgs_total,dir_memory_request_msgs_total,periods,period_ns,config_id,wallclock_ns,pub.publishes,pub.reads,pub.eagain,pub.retries,mon.reads_attempted,mon.reads_eagain,mon.samples_consumed,mon.torn_reads,mon.residual_alarms,mon.stl_violations,publishes_per_sec,consumed_per_sec,torn_read_frac,consume_success_frac,l1_request_from_msgs_total__per_publish,l1_request_to_msgs_total__per_publish,l1_response_from_msgs_total__per_publish,l1_response_to_msgs_total__per_publish,dir_request_to_msgs_total__per_publish,dir_response_from_msgs_total__per_publish,dir_memory_request_msgs_total__per_publish,coherence_msgs_total,coherence_msgs_per_publish,system.ruby.dma_cntrl0.requestToDir.m_msg_count,system.ruby.dma_cntrl0.responseFromDir.m_msg_count,system.witness_pull_engine.ticks,system.witness_pull_engine.pullsCompleted,system.witness_pull_engine.bytesTransferred,system.witness_pull_engine.skippedBusy,system.ruby.dma_cntrl0.requestToDir.m_msg_count__per_publish
dblbuf__captured-periodic_suppression__str0,dblbuf,captured/periodic_suppression,0,,0.000316,316492000.0,87492900000.0,1000000000000.0,0.62,282020.0,357105.0,350598914.0,16956.0,9761.0,17147.0,19320.0,343.0,343.0,343.0,5000,50000,1,316193,5000,710,0,0,710,0,710,0,0,0,15822784.810126584,2246835.4430379746,0.0,1.0,3.3912,1.9522,3.4294,3.864,0.0686,0.0686,0.0686,64213.0,12.8426,,,,,,,
dblbuf__captured-periodic_suppression__str2,dblbuf,captured/periodic_suppression,2,,0.000318,317699500.0,90331802000.0,1000000000000.0,0.86,295894.0,365991.0,363225007.0,28861.0,8339.0,14996.0,30497.0,7852.0,15705.0,15653.0,5000,50000,1,317088,5000,460,0,1,460,0,460,0,0,0,15723270.440251574,1446540.8805031448,0.0,1.0,5.7722,1.6678,2.9992,6.0994,1.5704,3.141,3.1306,121903.0,24.3806,,,,,,,
dblbuf__captured-periodic_suppression__str4,dblbuf,captured/periodic_suppression,4,,0.000334,334467000.0,92186915500.0,1000000000000.0,1.09,335494.0,406171.0,372082356.0,37467.0,9219.0,15908.0,39196.0,12358.0,24715.0,24641.0,5000,50000,1,333426,5000,489,0,1,489,0,489,0,1,8,14970059.880239522,1464071.8562874252,0.0,1.0,7.4934,1.8438,3.1816,7.8392,2.4716,4.943,4.9282,163504.0,32.7008,,,,,,,
dblbuf__synthesized-duty_bias__str0,dblbuf,synthesized/duty_bias,0,,0.000369,369366000.0,87971969500.0,1000000000000.0,0.67,275756.0,353821.0,352620964.0,25359.0,18031.0,29088.0,31393.0,343.0,343.0,343.0,5000,100000,2,369074,5000,859,0,0,859,0,859,0,804,852,13550135.501355013,2327913.2791327913,0.0,1.0,5.0718,3.6062,5.8176,6.2786,0.0686,0.0686,0.0686,104900.0,20.98,,,,,,,
dblbuf__synthesized-duty_bias__str2,dblbuf,synthesized/duty_bias,2,,0.000348,348429500.0,90821996000.0,1000000000000.0,0.94,290766.0,361783.0,365370645.0,34853.0,12939.0,21599.0,38494.0,8627.0,17253.0,17075.0,5000,100000,2,347869,5000,506,0,1,506,0,506,0,474,499,14367816.091954023,1454022.9885057472,0.0,1.0,6.9706,2.5878,4.3198,7.6988,1.7254,3.4506,3.415,150840.0,30.168,,,,,,,
dblbuf__synthesized-duty_bias__str4,dblbuf,synthesized/duty_bias,4,,0.000388,388145500.0,92694908000.0,1000000000000.0,1.3,363811.0,437392.0,374650633.0,50164.0,14605.0,23903.0,54439.0,15992.0,31981.0,31853.0,5000,100000,2,387352,5000,635,0,1,635,0,633,0,592,626,12886597.93814433,1631443.298969072,0.0,0.9968503937007874,10.0328,2.921,4.7806,10.8878,3.1984,6.3962,6.3706,222937.0,44.5874,,,,,,,
dma_naive__captured-periodic_suppression__str0__dma1000ns,dma_naive,captured/periodic_suppression,0,1000,0.000777,777194000.0,87286751000.0,1000000000000.0,1.16,960676.0,1090195.0,350695654.0,13867.0,6582.0,11619.0,13884.0,3420.0,6458.0,3420.0,5000,50000,1,776891,5000,3174,0,0,3174,0,753,555,1,8,6435006.435006435,969111.9691119691,0.17485822306238186,0.23724007561436672,2.7734,1.3164,2.3238,2.7768,0.684,1.2916,0.684,59250.0,11.85,1554.0,1554.0,777.0,777.0,49728.0,0.0,0.3108
dma_naive__captured-periodic_suppression__str2__dma1000ns,dma_naive,captured/periodic_suppression,2,1000,0.000796,795763000.0,90122347500.0,1000000000000.0,1.91,1049877.0,1172318.0,365256461.0,49100.0,6763.0,11800.0,49118.0,21994.0,43928.0,40662.0,5000,50000,1,795225,5000,2700,0,0,2700,0,757,514,1,8,6281407.035175879,951005.0251256281,0.19037037037037038,0.2803703703703704,9.82,1.3526,2.36,9.8236,4.3988,8.7856,8.1324,223365.0,44.673,1592.0,1592.0,796.0,796.0,50944.0,0.0,0.3184
dma_naive__captured-periodic_suppression__str4__dma1000ns,dma_naive,captured/periodic_suppression,4,1000,0.001077,1077477500.0,92181748000.0,1000000000000.0,3.02,1393227.0,1535017.0,379477841.0,94466.0,11647.0,16681.0,94479.0,48710.0,97342.0,92341.0,5000,50000,1,1076497,5000,3847,0,0,3847,0,1025,603,2,16,4642525.533890436,951717.7344475394,0.15674551598648298,0.2664413828957629,18.8932,2.3294,3.3362,18.8958,9.742,19.4684,18.4682,455666.0,91.1332,2154.0,2154.0,1078.0,1077.0,68928.0,0.0,0.4308
dma_naive__synthesized-duty_bias__str0__dma1000ns,dma_naive,synthesized/duty_bias,0,1000,0.000777,777403500.0,87740693000.0,1000000000000.0,1.18,953672.0,1085899.0,352511895.0,13855.0,6584.0,11621.0,13872.0,3422.0,6464.0,3422.0,5000,100000,2,777100,5000,3354,0,0,3354,0,754,659,707,747,6435006.435006435,970398.9703989704,0.19648181276088253,0.2248062015503876,2.771,1.3168,2.3242,2.7744,0.6844,1.2928,0.6844,59240.0,11.848,1554.0,1554.0,777.0,777.0,49728.0,0.0,0.3108
