epoch,ts_ns,duty_a,duty_b,duty_c
2,0,0.575000,0.276221,0.873779
4,100000,0.579335,0.274077,0.871588
6,200000,0.583670,0.271981,0.869349
8,300000,0.588003,0.269932,0.867065
10,400000,0.592334,0.267931,0.864734
12,500000,0.596663,0.265979,0.862358
14,600000,0.600988,0.264076,0.859936
16,700000,0.605309,0.262222,0.857469
18,800000,0.609625,0.260417,0.854958
20,900000,0.613935,0.258662,0.852402
22,1000000,0.618240,0.256957,0.849803
24,1100000,0.622538,0.255302,0.847160
26,1200000,0.626828,0.253698,0.844474
28,1300000,0.631110,0.252144,0.841746
30,1400000,0.635383,0.250642,0.838975
32,1500000,0.639647,0.249190,0.836163
34,1600000,0.643900,0.247790,0.833310
36,1700000,0.648142,0.246442,0.830416
38,1800000,0.652373,0.245145,0.827481
40,1900000,0.656592,0.243901,0.824507
42,2000000,0.660798,0.242709,0.821493
44,2100000,0.664990,0.241569,0.818440
46,2200000,0.669168,0.240482,0.815349
48,2300000,0.673332,0.239448,0.812220
50,2400000,0.677479,0.238467,0.809054
52,2500000,0.681611,0.237539,0.805850
54,2600000,0.685726,0.236664,0.802610
56,2700000,0.689823,0.235843,0.799334
58,2800000,0.693902,0.235075,0.796023
60,2900000,0.697962,0.234361,0.792677
62,3000000,0.702003,0.233701,0.789296
64,3100000,0.706024,0.233095,0.785882
66,3200000,0.710024,0.232542,0.782434
68,3300000,0.714003,0.232044,0.778953
70,3400000,0.717960,0.231600,0.775441
72,3500000,0.721894,0.231210,0.771896
74,3600000,0.725805,0.230874,0.768321
76,3700000,0.729692,0.230593,0.764715
78,3800000,0.733555,0.230366,0.761079
80,3900000,0.737393,0.230194,0.757413
82,4000000,0.741205,0.230076,0.753719
84,4100000,0.744991,0.230012,0.749997
86,4200000,0.748750,0.230003,0.746247
88,4300000,0.752482,0.230048,0.742470
90,4400000,0.756185,0.230148,0.738666
92,4500000,0.759860,0.230303,0.734837
94,4600000,0.763506,0.230511,0.730983
96,4700000,0.767122,0.230775,0.727103
98,4800000,0.770708,0.231092,0.723200
100,4900000,0.774263,0.231464,0.719274
102,5000000,0.777786,0.231890,0.715324
104,5100000,0.781277,0.232370,0.711353
106,5200000,0.784736,0.232905,0.707359
108,5300000,0.788162,0.233493,0.703346
110,5400000,0.791554,0.234135,0.699311
112,5500000,0.794911,0.234831,0.695257
114,5600000,0.798234,0.235581,0.691184
