epoch,ts_ns,duty_a,duty_b,duty_c,config_id
2,0,0.500000,0.240192,0.759808,2
4,100000,0.503770,0.238328,0.757902,2
6,200000,0.507539,0.236505,0.755956,2
8,300000,0.511307,0.234723,0.753969,2
10,400000,0.515073,0.232984,0.751943,2
12,500000,0.518837,0.231286,0.749876,2
14,600000,0.522598,0.229631,0.747770,2
16,700000,0.526355,0.228019,0.745625,2
18,800000,0.530109,0.226450,0.743442,2
20,900000,0.533857,0.224924,0.741219,2
22,1000000,0.537600,0.223441,0.738959,2
24,1100000,0.541337,0.222002,0.736661,2
26,1200000,0.545068,0.220607,0.734325,2
28,1300000,0.548791,0.219256,0.731953,2
30,1400000,0.552507,0.217949,0.729544,2
32,1500000,0.556214,0.216687,0.727099,2
34,1600000,0.559913,0.215470,0.724617,2
36,1700000,0.563602,0.214297,0.722101,2
38,1800000,0.567281,0.213170,0.719549,2
40,1900000,0.570950,0.212088,0.716962,2
42,2000000,0.574607,0.211051,0.714342,2
44,2100000,0.578252,0.210060,0.711687,2
46,2200000,0.581886,0.209115,0.708999,2
48,2300000,0.585506,0.208216,0.706278,2
50,2400000,0.589112,0.207363,0.703525,2
52,2500000,0.592705,0.206556,0.700739,2
54,2600000,0.596283,0.205795,0.697922,2
56,2700000,0.599846,0.205081,0.695073,2
58,2800000,0.603393,0.204413,0.692194,2
60,2900000,0.606924,0.203792,0.689284,2
62,3000000,0.610437,0.203218,0.686344,2
64,3100000,0.613934,0.202691,0.683375,2
66,3200000,0.617412,0.202211,0.680377,2
68,3300000,0.620872,0.201777,0.677351,2
70,3400000,0.624313,0.201391,0.674296,2
72,3500000,0.627734,0.201052,0.671214,2
74,3600000,0.631135,0.200760,0.668105,2
76,3700000,0.634515,0.200516,0.664969,2
78,3800000,0.637874,0.200318,0.661808,2
80,3900000,0.641211,0.200168,0.658620,2
82,4000000,0.644526,0.200066,0.655408,2
84,4100000,0.647818,0.200011,0.652171,2
86,4200000,0.651087,0.200003,0.648910,2
88,4300000,0.654332,0.200042,0.645626,2
90,4400000,0.657552,0.200129,0.642319,2
92,4500000,0.660748,0.200263,0.638989,2
94,4600000,0.663918,0.200445,0.635637,2
96,4700000,0.667063,0.200674,0.632264,2
98,4800000,0.670181,0.200950,0.628870,2
100,4900000,0.673272,0.201273,0.625455,2
102,5000000,0.676336,0.201643,0.622021,2
104,5100000,0.679371,0.202061,0.618567,2
106,5200000,0.682379,0.202526,0.615095,2
108,5300000,0.685358,0.203037,0.611605,2
110,5400000,0.688307,0.203596,0.608097,2
112,5500000,0.691227,0.204201,0.604572,2
114,5600000,0.694117,0.204853,0.601030,2
116,5700000,0.696976,0.205552,0.597472,2
118,5800000,0.699804,0.206297,0.593899,2
120,5900000,0.702600,0.207089,0.590312,2
122,6000000,0.705364,0.207926,0.586710,2
124,6100000,0.708096,0.208810,0.583094,2
126,6200000,0.710795,0.209740,0.579465,2
128,6300000,0.713461,0.210716,0.575823,2
130,6400000,0.716093,0.211737,0.572170,2
132,6500000,0.718691,0.212804,0.568505,2
134,6600000,0.721254,0.213916,0.564830,2
136,6700000,0.723782,0.215074,0.561144,2
138,6800000,0.726275,0.216276,0.557448,2
140,6900000,0.728733,0.217524,0.553744,2
142,7000000,0.731154,0.218815,0.550031,2
144,7100000,0.733539,0.220152,0.546310,2
146,7200000,0.735887,0.221532,0.542581,2
148,7300000,0.738197,0.222957,0.538846,2
150,7400000,0.740470,0.224425,0.535105,2
152,7500000,0.742705,0.225936,0.531359,2
154,7600000,0.744902,0.227491,0.527607,2
156,7700000,0.747060,0.229089,0.523851,2
158,7800000,0.749179,0.230730,0.520091,2
160,7900000,0.751258,0.232413,0.516328,2
162,8000000,0.753298,0.234139,0.512563,2
164,8100000,0.755298,0.235906,0.508795,2
166,8200000,0.757258,0.237716,0.505026,2
168,8300000,0.759177,0.239566,0.501257,2
170,8400000,0.761055,0.241458,0.497487,2
172,8500000,0.762892,0.243391,0.493717,2
174,8600000,0.764687,0.245364,0.489949,2
176,8700000,0.766441,0.247377,0.486182,2
178,8800000,0.768152,0.249430,0.482417,2
180,8900000,0.769822,0.251523,0.478655,2
182,9000000,0.771448,0.253655,0.474897,2
184,9100000,0.773032,0.255826,0.471142,2
186,9200000,0.774572,0.258036,0.467392,2
188,9300000,0.776070,0.260283,0.463647,2
190,9400000,0.777523,0.262569,0.459908,2
192,9500000,0.778933,0.264892,0.456175,2
194,9600000,0.780299,0.267252,0.452449,2
196,9700000,0.781620,0.269649,0.448731,2
198,9800000,0.782897,0.272082,0.445020,2
200,9900000,0.784129,0.274552,0.441319,2
202,10000000,0.785317,0.277057,0.437626,2
204,10100000,0.786459,0.279597,0.433944,2
206,10200000,0.787557,0.282172,0.430272,2
208,10300000,0.788608,0.284781,0.426611,2
210,10400000,0.789614,0.287424,0.422961,2
212,10500000,0.790575,0.290101,0.419324,2
214,10600000,0.791490,0.292811,0.415699,2
216,10700000,0.792358,0.295554,0.412088,2
218,10800000,0.793180,0.298329,0.408491,2
220,10900000,0.793957,0.301136,0.404908,2
222,11000000,0.794686,0.303974,0.401340,2
224,11100000,0.795369,0.306843,0.397788,2
226,11200000,0.796006,0.309743,0.394251,2
228,11300000,0.796596,0.312672,0.390732,2
230,11400000,0.797138,0.315632,0.387230,2
232,11500000,0.797634,0.318620,0.383745,2
234,11600000,0.798083,0.321637,0.380279,2
236,11700000,0.798485,0.324683,0.376832,2
238,11800000,0.798840,0.327756,0.373404,2
240,11900000,0.799148,0.330856,0.369997,2
242,12000000,0.799408,0.333983,0.366609,2
244,12100000,0.799621,0.337136,0.363243,2
246,12200000,0.799787,0.340314,0.359899,2
248,12300000,0.799905,0.343518,0.356576,2
250,12400000,0.799976,0.346747,0.353277,2
252,12500000,0.800000,0.350000,0.350000,2
254,12600000,0.799976,0.353277,0.346747,2
256,12700000,0.799905,0.356576,0.343518,2
258,12800000,0.799787,0.359899,0.340314,2
260,12900000,0.799621,0.363243,0.337136,2
262,13000000,0.799408,0.366609,0.333983,2
264,13100000,0.799148,0.369997,0.330856,2
266,13200000,0.798840,0.373404,0.327756,2
268,13300000,0.798485,0.376832,0.324683,2
270,13400000,0.798083,0.380279,0.321637,2
272,13500000,0.797634,0.383745,0.318620,2
274,13600000,0.797138,0.387230,0.315632,2
276,13700000,0.796596,0.390732,0.312672,2
278,13800000,0.796006,0.394251,0.309743,2
280,13900000,0.795369,0.397788,0.306843,2
282,14000000,0.794686,0.401340,0.303974,2
284,14100000,0.793957,0.404908,0.301136,2
286,14200000,0.793180,0.408491,0.298329,2
288,14300000,0.792358,0.412088,0.295554,2
290,14400000,0.791490,0.415699,0.292811,2
292,14500000,0.790575,0.419324,0.290101,2
294,14600000,0.789614,0.422961,0.287424,2
296,14700000,0.788608,0.426611,0.284781,2
298,14800000,0.787557,0.430272,0.282172,2
300,14900000,0.786459,0.433944,0.279597,2
302,15000000,0.785317,0.437626,0.277057,2
304,15100000,0.784129,0.441319,0.274552,2
306,15200000,0.782897,0.445020,0.272082,2
308,15300000,0.781620,0.448731,0.269649,2
310,15400000,0.780299,0.452449,0.267252,2
312,15500000,0.778933,0.456175,0.264892,2
314,15600000,0.777523,0.459908,0.262569,2
316,15700000,0.776070,0.463647,0.260283,2
318,15800000,0.774572,0.467392,0.258036,2
320,15900000,0.773032,0.471142,0.255826,2
322,16000000,0.771448,0.474897,0.253655,2
